"KBP";" STN";2019;2;3;"22:55:00";23;50.345;30.894722;51.885;0.235;"Kiev";"Boryspil International";"London";"London Stansted"
"KBP";" VNO";2019;2;3;"14:30:00";31;50.345;30.894722;54.634167;25.285833;"Kiev";"Boryspil International";"Vilnius";"Vilnius"
"KBP";" SXF";2019;2;3;"12:35:00";32;50.345;30.894722;52.378611;13.520556;"Kiev";"Boryspil International";"Berlin";"Berlin Schönefeld"
"KBP";" KRK";2019;2;3;"21:40:00";41;50.345;30.894722;50.077778;19.784722;"Kiev";"Boryspil International";"Kraków";"John Paul II International Airport KrakówBalice"
"KBP";" CPH";2019;2;3;"11:45:00";43;50.345;30.894722;55.620278;12.650278;"Kiev";"Boryspil International";"Copenhagen";"Airport Copenhagen"
"KBP";" VIE";2019;2;3;"10:25:00";54;50.345;30.894722;48.110278;16.578056;"Kiev";"Boryspil International";"Vienna";"Vienna International"
"KBP";" FRA";2019;2;3;"11:50:00";59;50.345;30.894722;50.033056;8.570556;"Kiev";"Boryspil International";"Frankfurt";"Frankfurt International Airport"
"KBP";" BCN";2019;2;3;"22:05:00";65;50.345;30.894722;41.296944;2.078333;"Kiev";"Boryspil International";"Barcelona";"BarcelonaEl Prat"
"KBP";" ATH";2019;2;3;"11:50:00";77;50.345;30.894722;37.936389;23.944444;"Kiev";"Boryspil International";"Athens";"Athens International"
"KBP";" FCO";2019;2;3;"11:05:00";77;50.345;30.894722;41.800278;12.238889;"Kiev";"Boryspil International";"Rome";"Leonardo da VinciFiumicino Airport"
"KBP";" WMI";2019;2;6;"17:15:00";15;50.345;30.894722;52.451111;20.651667;"Kiev";"Boryspil International";"Warsaw";"Warsaw Modlin"
"KBP";" KRK";2019;2;6;"23:25:00";15;50.345;30.894722;50.077778;19.784722;"Kiev";"Boryspil International";"Kraków";"John Paul II International Airport KrakówBalice"
"KBP";" NYO";2019;2;6;"22:40:00";21;50.345;30.894722;58.788611;16.912222;"Kiev";"Boryspil International";"Stockholm";"Stockholm Skavsta"
"KBP";" STN";2019;2;6;"18:45:00";23;50.345;30.894722;51.885;0.235;"Kiev";"Boryspil International";"London";"London Stansted"
"KBP";" SXF";2019;2;6;"13:10:00";32;50.345;30.894722;52.378611;13.520556;"Kiev";"Boryspil International";"Berlin";"Berlin Schönefeld"
"KBP";" VNO";2019;2;6;"20:35:00";43;50.345;30.894722;54.634167;25.285833;"Kiev";"Boryspil International";"Vilnius";"Vilnius"
"KBP";" MXP";2019;2;6;"11:40:00";52;50.345;30.894722;45.63;8.723056;"Kiev";"Boryspil International";"Milan";"MilanMalpensa"
"KBP";" VIE";2019;2;6;"20:50:00";57;50.345;30.894722;48.110278;16.578056;"Kiev";"Boryspil International";"Vienna";"Vienna International"
"KBP";" FRA";2019;2;6;"11:50:00";61;50.345;30.894722;50.033056;8.570556;"Kiev";"Boryspil International";"Frankfurt";"Frankfurt International Airport"
"KBP";" BCN";2019;2;6;"13:45:00";65;50.345;30.894722;41.296944;2.078333;"Kiev";"Boryspil International";"Barcelona";"BarcelonaEl Prat"
"KBP";" FCO";2019;2;6;"11:05:00";77;50.345;30.894722;41.800278;12.238889;"Kiev";"Boryspil International";"Rome";"Leonardo da VinciFiumicino Airport"
"KBP";" ATH";2019;2;6;"11:50:00";82;50.345;30.894722;37.936389;23.944444;"Kiev";"Boryspil International";"Athens";"Athens International"
"KBP";" WMI";2019;2;10;"17:00:00";15;50.345;30.894722;52.451111;20.651667;"Kiev";"Boryspil International";"Warsaw";"Warsaw Modlin"
"KBP";" VNO";2019;2;10;"14:30:00";21;50.345;30.894722;54.634167;25.285833;"Kiev";"Boryspil International";"Vilnius";"Vilnius"
"KBP";" STN";2019;2;10;"22:55:00";23;50.345;30.894722;51.885;0.235;"Kiev";"Boryspil International";"London";"London Stansted"
"KBP";" SXF";2019;2;10;"12:35:00";32;50.345;30.894722;52.378611;13.520556;"Kiev";"Boryspil International";"Berlin";"Berlin Schönefeld"
"KBP";" KRK";2019;2;10;"21:40:00";39;50.345;30.894722;50.077778;19.784722;"Kiev";"Boryspil International";"Kraków";"John Paul II International Airport KrakówBalice"
"KBP";" CPH";2019;2;10;"11:45:00";41;50.345;30.894722;55.620278;12.650278;"Kiev";"Boryspil International";"Copenhagen";"Airport Copenhagen"
"KBP";" BRU";2019;2;10;"17:35:00";51;50.345;30.894722;50.901389;4.484444;"Kiev";"Boryspil International";"City of Brussels";"Brussels"
"KBP";" VIE";2019;2;10;"10:25:00";57;50.345;30.894722;48.110278;16.578056;"Kiev";"Boryspil International";"Vienna";"Vienna International"
"KBP";" FRA";2019;2;10;"11:50:00";58;50.345;30.894722;50.033056;8.570556;"Kiev";"Boryspil International";"Frankfurt";"Frankfurt International Airport"
"KBP";" BCN";2019;2;10;"22:05:00";65;50.345;30.894722;41.296944;2.078333;"Kiev";"Boryspil International";"Barcelona";"BarcelonaEl Prat"
"KBP";" BUD";2019;2;10;"15:10:00";71;50.345;30.894722;47.436944;19.255556;"Kiev";"Boryspil International";"Budapest";"Budapest Ferenc Liszt International"
"KBP";" ATH";2019;2;10;"11:50:00";77;50.345;30.894722;37.936389;23.944444;"Kiev";"Boryspil International";"Athens";"Athens International"
"KBP";" FCO";2019;2;10;"11:05:00";77;50.345;30.894722;41.800278;12.238889;"Kiev";"Boryspil International";"Rome";"Leonardo da VinciFiumicino Airport"
"KBP";" WMI";2019;2;13;"17:15:00";15;50.345;30.894722;52.451111;20.651667;"Kiev";"Boryspil International";"Warsaw";"Warsaw Modlin"
